order_id,customer_id,order_date,order_time,Location,base_item,Protein,dip_1,dip_2,Topping_1,topping_2,topping_3,Dressing,meal_format,calories,Protein_g,carbs_g,fat_g,Fiber_g,Sodium_mg,price,rating,delivery_platform,order_type
1024,C021,2024-01-20,13:00,DC - Logan Circle,Black Lentils,Grilled Chicken,Hummus,Tzatziki,Tomato + Cucumber,Broccoli,,Lemon Herb Tahini,Bowl,560,48,55,14,17,1520,14.75,5,none,dine-in
1025,C022,2024-01-21,12:30,VA - Arlington,Pita,Harissa Honey Chicken,Harissa,,Corn,Pickled Onions,Feta,Garlic Dressing,Pita,9999,40,85,44,7,2490,14.25,1,none,dine-in
1026,C023,2024-01-21,19:00,DC - Capitol Hill,Saffron Basmati Rice,falafel,Hummus,Crazy Feta,Cabbage Slaw,Avocado,,Green Goddess Ranch,Bowl,760,20,72,42,12,1680,14.25,3,uber eats,delivery
1027,C024,2024-01-22,12:15,DC - Logan Circle,BROWN RICE,Grilled Steak,Harissa,Red Pepper Hummus,Feta,Corn,,Garlic Dressing,Bowl,940,42,76,44,7,2160,15.75,4,none,dine-in
1028,C025,2024-01-22,13:30,MD - Bethesda,Supergreens,Braised Lamb,Tzatziki,,Pickled Onions,Persian Cucumber,,Skhug,Bowl,520,32,18,34,6,1450,15.25,4,none,dine-in
1029,C026,2024-01-23,11:30,VA - Arlington,Black Lentils,Grilled Chicken,Hummus,,Tomato + Cucumber,Pickled Onions,Avocado,Lemon Herb Tahini,Bowl,680,44,60,26,18,1640,15.25,5,none,dine-in
1030,C002,2024-01-23,12:45,DC - Logan Circle,SuperGreens,Falafel,hummus,Crazy Feta,Cabbage Slaw,Pickled Onions,Avocado,lemon herb tahini,Bowl,710,18,55,48,16,1430,15.25,4,none,dine-in
1031,C027,2024-01-24,18:15,DC - Capitol Hill,Saffron Basmati Rice,Harissa Honey Chicken,Harissa,Tzatziki,Corn,Pickled Onions,,Garlic Dressing,Bowl,,34,80,32,5,1980,14.75,4,doordash,delivery
1032,C028,2024-01-24,12:00,MD - Bethesda,pita,GRILLED CHICKEN,Hummus,,Tomato + Cucumber,Cabbage Slaw,,Lemon Herb Tahini,Pita,870,48,69,45,12,2560,13.50,5,none,dine-in
1033,C029,2024-01-25,13:15,VA - Arlington,Brown Rice,Braised Lamb,Crazy Feta,Harissa,Avocado,Persian Cucumber,,Skhug,Bowl,900,38,64,50,10,2080,16.00,3,none,dine-in
1034,C030,2024-01-25,12:30,DC - Logan Circle,Black Lentils,grilled steak,Hummus,Tzatziki,Tomato + Cucumber,Feta,Corn,Greek Vinaigrette,Bowl,720,44,54,32,16,1820,15.75,5,none,dine-in
1035,C031,2024-01-26,11:45,DC - Capitol Hill,Supergreens,Falafel,Red Pepper Hummus,,Cabbage Slaw,Pickled Onions,,Green Goddess Ranch,Bowl,520,18,42,30,14,1280,13.75,4,none,dine-in
1036,C032,2024-01-26,19:30,MD - Bethesda,Saffron Basmati Rice,Grilled Chicken,Hummus,Crazy Feta,Tomato + Cucumber,Corn,Broccoli,Lemon Herb Tahini,Bowl,700,46,78,20,5,1890,14.50,5,uber eats,delivery
1037,C001,2024-01-27,12:00,DC - Logan Circle,saffron basmati rice,grilled chicken,hummus,tzatziki,tomato + cucumber,pickled onions,,lemon herb tahini,Bowl,620,47,71,15,4,1810,14.50,5,none,dine-in
1038,C033,2024-01-27,13:45,VA - Arlington,Brown Rice,Harissa Honey Chicken,Harissa,,Corn,Feta,Pickled Onions,Garlic Dressing,Bowl,860,36,74,38,6,2010,14.75,4,none,dine-in
1039,C034,2024-01-28,12:15,DC - Capitol Hill,pita,Braised Lamb,Crazy Feta,Tzatziki,Pickled Onions,Avocado,,Skhug,Pita,970,38,72,52,12,2380,15.50,2,none,dine-in
1040,C035,2024-01-28,18:45,DC - Logan Circle,Black Lentils,Grilled Chicken,Hummus,,Tomato + Cucumber,Persian Cucumber,,Lemon Herb Tahini,Bowl,560,48,55,14,17,1520,14.75,5,doordash,delivery
1041,C036,2024-01-29,11:30,MD - Bethesda,Supergreens,GRILLED STEAK,Harissa,Red Pepper Hummus,Feta,Corn,,Garlic Dressing,Bowl,600,40,22,36,7,1650,15.25,4,none,dine-in
1042,C037,2024-01-29,12:45,VA - Arlington,saffron basmati rice,Falafel,Hummus,Crazy Feta,Cabbage Slaw,Avocado,Pickled Onions,Green Goddess Ranch,Bowl,780,20,76,44,12,1720,14.25,3,none,dine-in
1043,C038,2024-01-30,13:00,DC - Capitol Hill,Brown Rice,Braised Lamb,Tzatziki,,Persian Cucumber,Tomato + Cucumber,Broccoli,Skhug,Bowl,820,38,64,42,9,1960,16.00,,none,dine-in
1044,C039,2024-01-30,12:30,DC - Logan Circle,Black Lentils,Grilled Chicken,Hummus,Harissa,Tomato + Cucumber,Pickled Onions,,Lemon Herb Tahini,Bowl,-50,48,55,15,17,1560,14.75,5,none,dine-in
1045,C040,2024-01-31,19:00,MD - Bethesda,Pita,harissa honey chicken,Harissa,Tzatziki,Corn,Feta,Pickled Onions,Garlic Dressing,Pita,980,40,85,50,8,2490,14.75,4,uber eats,delivery
